Year,Week,DLI
2010,1,13.94862485972043
2010,2,10.816623585752467
2010,3,9.627514285714286
2010,4,15.142097898153242
2010,5,17.338866293248735
2010,6,17.21296108825146
2010,7,16.663759071863527
2010,8,19.16300155181264
2010,9,18.64310176501959
2010,10,28.245366374945203
2010,11,31.835584870666203
2010,12,29.37031754619729
2010,13,27.588499674597045
2010,14,33.384001205668476
2010,15,40.022466763230476
2010,16,37.18040325351634
2010,17,41.36978383873916
2010,18,46.121939976157364
2010,19,30.160720957045324
2010,20,44.41559736538843
2010,21,24.211680429711038
2010,22,40.883130434782615
2010,33,0.0
2010,34,0.0
2010,35,0.0
2010,38,44.05400231530923
2010,39,37.285006438397666
2010,40,35.60677060021129
2010,41,24.609970793209566
2010,42,28.223763326015366
2010,43,43.936454665151246
2010,44,24.61120285714286
2010,45,30.525377142857142
2010,46,21.65051142857143
2010,47,22.38797142857143
2010,48,16.520562857142856
2010,49,19.291105714285713
2010,50,9.859937142857143
2010,51,15.448881758699315
2010,52,17.48142
2010,53,13.268444252953438
2011,1,19.061384713769986
2011,2,20.488714285714284
2011,3,26.680894285714285
2011,4,25.898562857142856
2011,5,29.775597609451008
2011,52,0.5701150090415913
